open_time,open,high,low,close,volume,log_return,volatility,sma_200,trend_distance
2019-10-11 20:00:00,8341.64,8350.0,8210.0,8255.58,7067.606,-0.010288982307761924,0.01029456021517424,9135.488299999999,-0.10127730679853018
2019-10-12 00:00:00,8255.54,8327.91,8248.34,8306.56,5899.6,0.00615622872504745,0.010333077790285798,9125.3205,-0.09400745806221583
2019-10-12 04:00:00,8307.01,8356.0,8303.0,8336.35,5885.266,0.0035799066166971763,0.01032652360427769,9115.044100000001,-0.0893007756038492
2019-10-12 08:00:00,8336.33,8366.79,8289.26,8319.75,5674.466,-0.0019932643891577735,0.010315739883847356,9105.153400000001,-0.09020835461868275
2019-10-12 12:00:00,8319.74,8397.45,8304.7,8368.79,7058.38,0.005877103827514459,0.010345623448021599,9096.25,-0.08335293054690301
2019-10-12 16:00:00,8368.94,8395.0,8290.5,8307.99,6912.629,-0.007291607778238351,0.010415306940333713,9085.71695,-0.08948591217569618
2019-10-12 20:00:00,8307.99,8343.65,8292.0,8300.22,6331.173,-0.0009356818786476346,0.010367374858119347,9075.64675,-0.08931262435378777
2019-10-13 00:00:00,8300.31,8360.0,8277.32,8336.51,5762.46,0.004362643086460257,0.010241343380435674,9065.78495,-0.08386276818133775
2019-10-13 04:00:00,8336.51,8354.11,8307.2,8319.36,4445.248,-0.0020593347643676745,0.010104845399065672,9055.846749999999,-0.0848252700378454
2019-10-13 08:00:00,8318.76,8378.19,8316.06,8345.14,4706.924,0.0030940046884936514,0.010093001265939873,9046.0362,-0.08064733933042582
2019-10-13 12:00:00,8345.14,8440.0,8342.55,8401.39,9107.409,0.006717834864113286,0.010084614159677777,9036.680849999999,-0.0728947760227014
2019-10-13 16:00:00,8401.39,8456.0,8397.65,8430.0,6084.668,0.0033996036636945825,0.00981009877247644,9027.55805,-0.06848513248674018
2019-10-13 20:00:00,8430.0,8430.0,8137.3,8274.66,13714.204,-0.01859893920804969,0.010256555263878567,9018.03585,-0.08602872256784437
2019-10-14 00:00:00,8274.33,8300.22,8243.87,8286.51,5335.289,0.0014310585571344194,0.010256374785869327,9009.335599999999,-0.08363243724988038
2019-10-14 04:00:00,8286.62,8329.38,8272.0,8302.17,5563.985,0.001888035051842869,0.010255784741938802,9000.33635,-0.08074502244542568
2019-10-14 08:00:00,8302.13,8320.5,8276.01,8279.61,6000.199,-0.002721060576106894,0.010060846806507052,8991.265,-0.0824576846480663
2019-10-14 12:00:00,8277.61,8285.95,8241.19,8251.5,9058.467,-0.0034008638370995096,0.009354682060276256,8982.1852,-0.08484819146730134
2019-10-14 16:00:00,8252.34,8381.77,8205.02,8327.16,24555.184,0.009127459670696971,0.00943660303485358,8973.468350000001,-0.07474980075691673
2019-10-14 20:00:00,8327.16,8347.55,8251.16,8346.05,11486.697,0.0022659113730743603,0.009428940313860263,8965.239399999999,-0.0715664375035968
2019-10-15 00:00:00,8346.31,8408.62,8311.0,8313.69,6968.146,-0.003884819414660911,0.009367019255198098,8956.41985,-0.07446702319425492
2019-10-15 04:00:00,8313.96,8338.45,8272.0,8279.74,7972.723,-0.004091986692631775,0.009340434876394117,8947.0208,-0.07750903842640199
2019-10-15 08:00:00,8278.14,8320.15,8258.33,8294.5,12142.967,0.0017810776122285307,0.00932466624375702,8937.92615,-0.07471094345210597
2019-10-15 12:00:00,8294.23,8378.51,8235.0,8316.18,22332.846,0.002610370232968784,0.009331194947704435,8929.11225,-0.07111396306947161
2019-10-15 16:00:00,8316.16,8321.4,8080.0,8177.46,26600.795000000002,-0.016821425835221063,0.009694992293294577,8919.1449,-0.08681848982010504
2019-10-15 20:00:00,8177.5,8182.05,8131.03,8160.01,10229.272,-0.002136194482479535,0.009700477718363939,8908.31205,-0.08773938462594727
2019-10-16 00:00:00,8160.55,8184.0,8140.0,8167.82,7614.084,0.0009566489356671408,0.009655868890164166,8897.60715,-0.08558033763719589
2019-10-16 04:00:00,8167.38,8177.02,8119.48,8140.12,7005.305,-0.0033971214805995483,0.00960613065519679,8886.2321,-0.08769820199098888
2019-10-16 08:00:00,8135.0,8166.51,8010.64,8060.33,16910.442,-0.00985042331209072,0.009721652647737588,8874.71055,-0.09625122213668377
2019-10-16 12:00:00,8060.33,8060.33,7900.24,7955.01,18761.384,-0.01315257974845323,0.006996843055514908,8863.06545,-0.10809077350175285
2019-10-16 16:00:00,7952.23,8022.98,7901.01,7957.06,12278.651,0.0002576660373342569,0.006963302392945415,8851.318150000001,-0.10650680653436205
2019-10-16 20:00:00,7958.4,8020.38,7957.2,7992.21,7864.586,0.004407732379994599,0.007028432155769753,8839.79635,-0.10079652177655862
2019-10-17 00:00:00,7994.76,7998.14,7956.88,7968.12,7907.2880000000005,-0.0030187368674566752,0.007031211727918987,8828.5857,-0.10254625150202293
2019-10-17 04:00:00,7967.65,7989.0,7930.0,7975.38,9659.49,0.0009107160287000994,0.006870904932640197,8816.7559,-0.10029469412941201
2019-10-17 08:00:00,7975.0,8119.0,7971.91,8066.01,15990.539,0.011299639783733176,0.007033559348987676,8805.6821,-0.08773827007353714
2019-10-17 12:00:00,8066.01,8090.46,8015.23,8070.86,8887.672,0.0006011079157279489,0.007027652832059014,8794.45305,-0.08586114337409921
2019-10-17 16:00:00,8069.84,8124.63,8042.64,8060.02,9288.449,-0.0013440062329814024,0.007008626073945975,8783.2935,-0.08593541329957712
2019-10-17 20:00:00,8061.51,8075.38,8036.93,8069.2,6621.164,0.001138306873022129,0.007014222295610732,8771.8495,-0.08349332876765754
2019-10-18 00:00:00,8069.41,8117.3,8051.07,8064.97,7207.573,-0.0005243529846181367,0.007014317720546855,8760.35535,-0.08270647740061259
2019-10-18 04:00:00,8064.17,8072.02,7821.01,7909.6,18454.658,-0.01945278019265428,0.007004823141324053,8748.2421,-0.10077556572791162
